Mortalidade Geral
Óbitos Residentes MSP por Mês do Óbito e Causas específicas
Período:2014
"Mês do Óbito";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Janeiro";19;24;6;33;70;21;26;89;107;64;48;59;19;135;142;22;26;9;69;55;53;28;14;188;13;12;12;11;169;87;22;154;679;88;78;100;482;41;440;192;32;20;62;41;31;124;7;49;4;7;13;15;20;10;19;2;27;70;123;72;88;46;147;60;37;1125;6157
"Fevereiro";23;26;-;33;55;20;32;87;85;35;62;60;25;156;115;22;23;16;56;44;26;38;11;196;13;14;14;10;178;87;11;148;706;112;109;77;499;53;465;175;25;25;39;37;36;145;4;51;6;8;10;10;16;6;20;3;20;44;115;63;77;43;141;47;25;1072;6005
"Março";22;32;1;29;63;20;32;117;105;57;52;77;31;167;123;26;23;15;66;31;31;41;10;192;18;19;14;9;118;65;10;143;689;91;87;86;435;73;432;188;20;22;42;37;28;106;10;65;6;11;11;9;25;9;30;2;18;68;106;65;86;63;143;45;33;1037;5937
"Abril";17;25;7;31;68;13;44;88;94;44;48;67;17;128;103;28;19;13;65;38;52;30;8;190;15;15;10;11;114;78;8;166;720;105;72;86;441;83;435;201;24;19;52;48;34;93;8;55;9;8;3;9;22;6;17;2;22;43;106;74;62;37;139;60;33;1114;5896
"Maio";21;24;1;37;50;24;27;70;100;45;67;56;29;158;104;19;25;14;72;43;34;35;13;195;21;13;14;11;147;88;20;196;849;141;106;123;502;116;583;282;34;27;57;48;44;114;8;48;4;6;5;11;13;10;26;4;38;54;139;78;87;38;130;36;22;1168;6724
"Junho";19;21;3;35;68;21;31;72;85;54;54;73;25;161;107;25;21;14;63;42;33;41;16;209;15;3;6;10;136;57;13;193;810;118;86;113;478;103;587;277;37;29;55;41;50;105;4;33;6;7;5;11;16;8;20;4;31;68;120;77;79;36;133;51;23;1176;6523
"Julho";21;31;5;32;71;24;40;91;99;57;50;80;24;166;112;27;17;9;71;41;35;35;14;232;18;20;7;9;130;70;19;189;787;97;85;107;482;105;525;229;18;22;41;43;47;101;10;51;6;5;11;10;19;6;14;-;31;54;131;86;63;39;134;49;22;1067;6343
"Agosto";8;42;1;36;69;26;42;80;90;49;35;78;27;159;93;25;18;10;64;41;37;36;5;216;15;10;5;13;135;63;11;184;840;122;85;122;534;83;549;248;29;29;57;41;41;117;7;18;4;9;6;16;18;6;17;3;27;68;126;98;90;46;118;48;19;1120;6484
"Setembro";22;41;1;38;79;27;35;78;103;58;43;67;14;141;107;22;13;11;67;44;33;39;9;177;12;8;8;14;134;79;17;169;732;118;94;94;466;63;551;208;26;13;50;48;40;103;4;29;6;3;7;12;18;3;17;-;27;59;102;90;86;49;133;59;27;1096;6143
"Outubro";19;33;3;32;68;22;35;100;110;44;46;72;17;164;101;29;20;13;66;52;27;39;10;173;13;19;8;12;116;96;17;160;800;98;114;105;479;90;516;250;28;30;52;43;31;102;9;54;3;8;8;10;21;7;18;5;20;47;105;70;94;41;149;40;21;1078;6282
"Novembro";17;21;3;34;54;16;33;76;73;46;50;70;24;146;98;24;16;9;62;45;33;27;11;164;11;6;11;9;120;71;15;138;704;86;75;97;398;68;420;199;30;20;47;37;39;99;5;29;7;9;10;7;16;6;15;4;24;58;99;56;108;44;129;49;30;1036;5593
"Dezembro";25;11;4;30;64;20;42;92;101;43;52;75;20;145;116;28;31;6;66;35;32;37;10;190;14;9;10;12;132;64;5;127;758;98;96;95;468;57;480;195;29;26;53;36;33;106;8;37;7;3;6;12;15;3;28;5;22;102;126;85;88;52;165;58;16;1073;6089
"Total";233;331;35;400;779;254;419;1040;1152;596;607;834;272;1826;1321;297;252;139;787;511;426;426;131;2322;178;148;119;131;1629;905;168;1967;9074;1274;1087;1205;5664;935;5983;2644;332;282;607;500;454;1315;84;519;68;84;95;132;219;80;241;34;307;735;1398;914;1008;534;1661;602;308;13162;74176
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. Os coeficientes de mortalidade podem ser tabuladas por Distrito Administrativo e seus agregados (Supervisão de Saúde e Região), faixa etária e sexo.
3. Os coeficientes de mortalidade por homicídio, aids, tuberculose e acidentes de trânsito foram calculados por 100.000 habitantes. 
4. A partir de 2005, os óbitos por acidentes de trânsito foram qualificados com o apoio da Companhia de Engenharia de Tráfego – CET.
