Mortalidade Geral
Óbitos Ocorridos MSP por Mês do Óbito e Causas específicas
Período:2016
"Mês do Óbito";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Janeiro";34;34;3;44;82;29;43;112;121;73;70;100;28;214;155;31;38;16;77;64;62;61;8;174;16;6;15;11;123;76;12;162;799;134;95;101;488;77;456;188;30;33;70;37;39;135;10;50;4;4;5;19;24;15;31;12;35;34;80;103;119;38;77;36;34;1283;6789
"Fevereiro";28;33;-;43;69;32;44;105;117;67;80;97;18;177;139;42;28;8;64;53;83;52;15;165;9;7;12;9;116;95;22;155;689;112;104;79;436;70;457;181;31;13;56;44;44;134;8;46;6;14;10;13;16;14;35;5;33;57;77;97;85;40;106;43;33;1247;6419
"Março";22;40;3;29;86;29;54;100;128;66;87;105;35;209;160;39;17;7;89;58;56;69;11;212;10;10;12;11;132;64;21;203;856;141;108;114;553;90;633;258;35;21;70;63;36;140;7;61;5;1;11;17;25;17;37;6;35;70;82;115;95;47;107;37;36;1384;7487
"Abril";21;40;-;33;70;25;53;97;127;65;82;77;25;183;161;42;21;14;79;52;63;51;13;188;8;19;15;13;175;90;24;157;802;160;95;106;563;85;667;287;52;29;60;68;46;114;6;41;3;7;6;12;22;11;41;8;47;48;92;93;70;51;104;41;38;1394;7352
"Maio";24;33;-;37;77;35;43;101;131;78;91;106;23;192;170;41;38;14;84;62;62;55;16;199;9;11;11;9;142;83;23;167;884;152;111;107;531;123;559;246;44;30;70;56;34;108;10;58;3;2;8;14;25;8;34;3;36;56;76;101;106;45;78;49;34;1378;7346
"Junho";27;33;2;61;65;29;47;110;119;67;70;110;26;219;163;27;22;8;82;43;44;37;10;268;17;19;13;19;182;81;15;262;1042;172;102;145;587;130;685;298;38;23;49;57;58;160;9;44;3;12;13;17;20;6;46;5;27;66;65;109;86;31;77;47;28;1510;8064
"Julho";25;47;2;52;69;32;38;109;100;63;65;98;25;210;179;31;36;14;72;48;39;59;12;248;12;16;9;15;180;113;20;217;888;155;117;158;580;119;770;334;36;39;54;47;54;125;7;38;3;7;9;10;21;10;36;7;42;46;66;94;94;35;84;50;31;1443;7864
"Agosto";37;29;-;52;51;32;47;105;116;57;74;85;30;202;139;30;35;13;83;60;79;50;7;221;16;13;15;16;151;89;22;212;879;150;99;139;553;115;609;293;39;22;54;58;40;170;6;46;7;3;5;11;16;5;24;2;24;56;99;93;85;36;90;37;33;1385;7451
"Setembro";21;39;1;41;69;31;44;104;113;48;67;85;30;203;141;32;29;12;59;54;63;50;11;204;13;14;12;16;155;73;22;207;811;144;94;140;497;109;559;255;35;31;60;49;36;128;9;37;4;5;13;14;27;5;28;5;37;45;87;90;67;46;91;31;27;1305;6984
"Outubro";27;30;1;28;62;20;57;102;125;75;85;91;26;174;157;37;24;16;78;66;65;58;15;209;6;13;8;7;119;85;17;163;844;164;102;168;499;79;534;202;34;27;65;57;38;139;5;37;9;3;7;7;30;6;38;2;28;67;76;82;98;42;86;50;24;1358;7053
"Novembro";19;35;-;43;63;29;32;116;114;62;72;68;30;191;172;46;28;12;90;46;66;53;14;197;10;15;13;10;103;81;10;145;783;115;103;124;472;85;517;226;34;18;62;43;42;131;9;38;4;7;4;14;27;5;34;2;29;51;78;87;98;39;95;37;42;1338;6778
"Dezembro";34;26;2;47;77;30;47;124;139;79;72;106;34;172;129;41;36;15;99;68;69;47;8;234;13;10;14;8;135;80;21;162;876;125;93;128;529;76;554;229;35;19;48;56;32;169;4;30;9;5;13;15;24;6;31;6;27;50;92;88;94;48;111;46;33;1367;7246
"Total";319;419;14;510;840;353;549;1285;1450;800;915;1128;330;2346;1865;439;352;149;956;674;751;642;140;2519;139;153;149;144;1713;1010;229;2212;10153;1724;1223;1509;6288;1158;7000;2997;443;305;718;635;499;1653;90;526;60;70;104;163;277;108;415;63;400;646;970;1152;1097;498;1106;504;393;16392;86833
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. Os coeficientes de mortalidade podem ser tabuladas por Distrito Administrativo e seus agregados (Supervisão de Saúde e Região), faixa etária e sexo.
3. Os coeficientes de mortalidade por homicídio, aids, tuberculose e acidentes de trânsito foram calculados por 100.000 habitantes. 
4. A partir de 2005, os óbitos por acidentes de trânsito foram qualificados com o apoio da Companhia de Engenharia de Tráfego – CET.
